source_id,listing_type,title,price,area_sqm,building_year,address,prefecture,municipality,district,station,walk_min,lat,lng,url
S001,sale,豊洲タワーレジデンス 22F,79800000,68.4,2015,東京都江東区豊洲5丁目,東京都,江東区,豊洲,豊洲,6,35.6562,139.7942,https://example.com/s001
S002,sale,豊洲シティマークス,62000000,58.2,2008,東京都江東区豊洲3丁目,東京都,江東区,豊洲,豊洲,8,35.6528,139.7981,https://example.com/s002
S003,sale,豊洲ベイコート 低層階,49800000,55.0,2007,東京都江東区豊洲1丁目,東京都,江東区,豊洲,越中島,12,35.6601,139.7899,https://example.com/s003
S004,sale,三軒茶屋グランドマンション,72800000,63.5,2012,東京都世田谷区三軒茶屋2丁目,東京都,世田谷区,三軒茶屋,三軒茶屋,5,35.6421,139.6698,https://example.com/s004
S005,sale,三軒茶屋パークホームズ,58000000,54.0,2001,東京都世田谷区三軒茶屋1丁目,東京都,世田谷区,三軒茶屋,三軒茶屋,7,35.6448,139.6731,https://example.com/s005
S006,sale,サンシティ石神井公園,39800000,61.8,2003,東京都練馬区石神井町3丁目,東京都,練馬区,石神井町,石神井公園,4,35.7422,139.6045,https://example.com/s006
S007,sale,石神井町ヒルズ ※要現況確認,19800000,66.0,1998,東京都練馬区石神井町7丁目,東京都,練馬区,石神井町,石神井公園,9,35.7398,139.6082,https://example.com/s007
S008,sale,赤羽グランデュオ,45500000,58.6,2010,東京都北区赤羽1丁目,東京都,北区,赤羽,赤羽,3,35.7788,139.7224,https://example.com/s008
S009,sale,赤羽スカイレジデンス,53900000,60.1,2018,東京都北区赤羽2丁目,東京都,北区,赤羽,赤羽,6,35.7771,139.7196,https://example.com/s009
S010,sale,日吉パークハウス,49800000,65.3,2009,神奈川県横浜市港北区日吉2丁目,神奈川県,横浜市港北区,日吉,日吉,5,35.5541,139.6438,https://example.com/s010
S011,sale,日吉本町ガーデンズ,41200000,62.0,2004,神奈川県横浜市港北区日吉3丁目,神奈川県,横浜市港北区,日吉,日吉,10,35.5512,139.6475,https://example.com/s011
S012,sale,武蔵小杉タワープレイス,69800000,64.8,2016,神奈川県川崎市中原区小杉町2丁目,神奈川県,川崎市中原区,小杉町,武蔵小杉,4,35.5771,139.6559,https://example.com/s012
